Date,Dog_ID,Daily_Steps,Heart_Rate_BPM,Rest_Time_Hours,Sleep_Pattern_Hours,Active_Time_Hours,Calories_Burned,Mood_Score,Outdoor_Time_Hours,Activity_Intensity,Rest_Efficiency,Energy_Expenditure_Rate,Outdoor_to_Active_Ratio,Mood_Stability_Index,Fatigue_Index,Latitude,Longitude,Distance_Travelled,Location_Change_Frequency,Weather_Condition,Temperature_C,Area_Type
1/1/2024,Dog_1,18795,88,5.1,12.24,2.5,751.8,3,1.26,7518,0.416666667,300.72,0.504,3,1083.910035,40.68745401,-74.0383102,0,0,Rainy,6.057667623,Rural
1/2/2024,Dog_1,14284,98,6.67,6.8,7.59,571.36,6,3.46,1881.949934,0.980882353,75.27799736,0.455862978,4.5,1060.430586,40.74507143,-73.95601679,9449.232144,1,Snowy,7.493964075,Urban
1/3/2024,Dog_1,17423,112,7.61,11.66,6.96,696.92,3,3.21,2503.304598,0.652658662,100.1321839,0.461206897,4,904.1515309,40.72319939,-73.98722919,3584.823091,1,Windy,20.70698631,Urban
1/4/2024,Dog_1,4685,112,9.82,12.66,2.78,187.4,1,2.67,1685.251799,0.775671406,67.41007194,0.960431655,3.333333333,208.4074733,40.70986585,-74.01650944,2883.256877,1,Windy,2.833632503,Suburban
1/5/2024,Dog_1,5433,119,5.1,8.43,5.39,217.32,5,2.97,1007.977737,0.604982206,40.31910946,0.551020408,3,401.5521064,40.66560186,-74.03607279,5186.14741,1,Rainy,30.87831722,Rural
1/6/2024,Dog_1,9396,103,4.14,10.2,7.2,375.84,10,3.65,1305,0.405882353,52.2,0.506944444,5.333333333,655.2301255,40.66559945,-73.97059748,5536.524705,1,Sunny,15.80762093,Rural
1/7/2024,Dog_1,5747,75,5.4,6.72,5.43,229.88,4,1.81,1058.379374,0.803571429,42.33517495,0.333333333,6.333333333,474.1749175,40.65580836,-73.98799272,1829.234745,1,Snowy,12.90411761,Rural
1/8/2024,Dog_1,6005,110,6.29,13.87,7.44,240.2,7,3.86,807.1236559,0.453496756,32.28494624,0.518817204,7,297.8670635,40.73661761,-73.99665389,9003.518552,1,Windy,17.31280768,Urban
1/9/2024,Dog_1,14394,96,7.65,7.36,7.66,575.76,6,5.03,1879.112272,1.039402174,75.16449086,0.656657963,5.666666667,958.9606929,40.7101115,-73.96061074,4235.194314,1,Rainy,1.641372537,Rural
1/10/2024,Dog_1,17502,77,9.69,13.73,4.53,700.08,10,4.8,3863.576159,0.705753824,154.5430464,1.059602649,7.666666667,747.3099915,40.72080726,-73.97114028,1484.01974,1,Windy,19.53892555,Urban
1/11/2024,Dog_1,11433,117,5.83,6.78,4.26,457.32,7,1.77,2683.802817,0.859882006,107.3521127,0.415492958,7.666666667,906.6613799,40.65205845,-74.03483251,9341.970438,1,Snowy,9.524029465,Rural
1/12/2024,Dog_1,18787,67,4.21,13.27,7.62,751.48,5,1.75,2465.485564,0.317256971,98.61942257,0.229658793,7.333333333,1074.771167,40.74699099,-74.01882779,10628.50367,1,Snowy,30.88745364,Urban
1/13/2024,Dog_1,4585,99,8.53,9.4,6.05,183.4,4,2.34,757.8512397,0.907446809,30.31404959,0.38677686,5.333333333,255.716676,40.73324426,-74.02515109,1617.293319,1,Cloudy,1.754168267,Urban
1/14/2024,Dog_1,13805,101,7.41,6.25,2.7,552.2,7,2.81,5112.962963,1.1856,204.5185185,1.040740741,5.333333333,1010.614934,40.67123391,-73.97560537,8059.270605,1,Rainy,15.28204415,Rural
1/15/2024,Dog_1,9873,103,9.64,13.16,2.25,394.92,7,3.04,4388,0.732522796,175.52,1.351111111,6,433.0263158,40.6681825,-74.04664676,6016.367528,1,Snowy,18.92450517,Rural
1/1/2024,Dog_2,14534,67,7.42,10.17,5.39,581.36,6,4.4,2696.474954,0.729596853,107.8589981,0.816326531,6,826.2649233,40.66834045,-73.99301103,0,0,Cloudy,-3.664655929,Rural
1/2/2024,Dog_2,11529,106,8.97,8.85,7.58,461.16,8,1.28,1520.976253,1.013559322,60.83905013,0.168865435,7,646.969697,40.68042422,-73.97375413,2109.842132,1,Cloudy,9.54772499,Rural
1/3/2024,Dog_2,9331,119,5.66,8.37,7.07,373.24,4,1.17,1319.80198,0.676224612,52.79207921,0.165487977,6,665.0748396,40.70247564,-73.96232344,2632.485706,1,Windy,24.30540939,Rural
1/4/2024,Dog_2,19448,84,9.92,12.18,6.06,777.92,10,2.96,3209.240924,0.814449918,128.369637,0.488448845,7.333333333,880,40.6931945,-74.01579183,4635.094011,1,Windy,27.8151003,Suburban
1/5/2024,Dog_2,5027,67,4.03,12.52,2.83,201.08,5,4.49,1776.325088,0.321884984,71.05300353,1.586572438,6.333333333,303.7462236,40.67912291,-73.96787427,4341.573255,1,Cloudy,7.526479793,Rural
1/6/2024,Dog_2,9736,67,8.37,12.17,3.53,389.44,4,1.97,2758.073654,0.687756779,110.3229462,0.558073654,6.333333333,474.0019474,40.71118529,-74.03893683,6982.321482,1,Windy,26.9437309,Suburban
1/7/2024,Dog_2,8892,101,6.15,6.93,7.25,355.68,1,4.21,1226.482759,0.887445887,49.05931034,0.580689655,3.333333333,679.8165138,40.66394939,-73.96535477,8136.514169,1,Snowy,33.71023508,Rural
1/8/2024,Dog_2,11392,67,6.7,6.76,3.1,455.68,8,2.3,3674.83871,0.99112426,146.9935484,0.741935484,4.333333333,846.359584,40.67921446,-74.03725113,6310.866133,1,Sunny,29.27495744,Rural
1/9/2024,Dog_2,5454,83,8,10.73,3.67,218.16,1,5.43,1486.103542,0.745573159,59.44414169,1.479564033,3.333333333,291.1906033,40.68663618,-74.01027127,2425.137621,1,Snowy,-0.294240474,Rural
1/10/2024,Dog_2,13965,86,7.37,9.06,2.78,558.6,5,5.48,5023.381295,0.813465784,200.9352518,1.971223022,4.666666667,849.9695679,40.695607,-73.97027046,3524.838302,1,Cloudy,24.58921328,Rural
1/11/2024,Dog_2,11110,73,9.09,11.77,6.06,444.4,6,2.49,1833.333333,0.772302464,73.33333333,0.410891089,4,532.5982742,40.7285176,-74.03500826,6578.862648,1,Cloudy,7.786673298,Urban
1/12/2024,Dog_2,3502,73,6.96,10.18,7.66,140.08,6,2.15,457.1801567,0.683693517,18.28720627,0.280678851,5.666666667,204.3173862,40.66996738,-74.02707486,6536.371506,1,Snowy,34.53663958,Rural
1/13/2024,Dog_2,18934,91,7.82,8.51,3.61,757.36,5,3.06,5244.875346,0.918918919,209.7950139,0.847645429,5.666666667,1159.461115,40.70142344,-73.97777474,5437.842244,1,Windy,14.41435933,Rural
1/14/2024,Dog_2,15383,63,9.45,7.99,4.85,615.32,3,2.2,3171.752577,1.182728411,126.8701031,0.453608247,4.666666667,882.0527523,40.70924146,-73.97799635,868.3783666,1,Windy,-0.102644066,Rural
1/15/2024,Dog_2,4678,102,5.22,13.54,5.81,187.12,5,4.36,805.1635112,0.385524372,32.20654045,0.750430293,4.333333333,249.3603412,40.65464504,-73.98588524,6099.380135,1,Cloudy,24.00742192,Rural
1/1/2024,Dog_3,19198,118,8.17,13.04,8,767.92,8,5.13,2399.75,0.626533742,95.99,0.64125,8,905.1390853,40.71075449,-73.98060516,0,0,Rainy,7.920447935,Suburban
1/2/2024,Dog_3,13921,104,5.77,6.84,2.63,556.84,2,4.37,5293.155894,0.843567251,211.7262357,1.661596958,5,1103.965107,40.66705241,-73.99572756,5018.551538,1,Windy,34.88312628,Rural
1/3/2024,Dog_3,16931,103,6.5,13.07,4.99,677.24,6,5.12,3392.985972,0.497322112,135.7194389,1.026052104,5.333333333,865.1507409,40.65650516,-74.02482009,2724.752752,1,Snowy,34.19129831,Rural
1/4/2024,Dog_3,13230,87,6.14,13.25,4.31,529.2,9,2.98,3069.605568,0.463396226,122.7842227,0.691415313,5.666666667,682.3104693,40.74488855,-74.0154304,9846.839642,1,Windy,21.24536072,Urban
1/5/2024,Dog_3,4306,116,8.91,12.89,7.19,172.24,8,1.78,598.8873435,0.691233514,23.95549374,0.247566064,7.666666667,197.5229358,40.7465632,-74.03184023,1398.357284,1,Snowy,0.193057958,Urban
1/6/2024,Dog_3,10526,65,7.06,9.34,4.86,421.04,8,4.69,2165.843621,0.755888651,86.63374486,0.965020576,8.333333333,641.8292683,40.73083973,-73.95915494,6382.941874,1,Cloudy,22.47443991,Urban
1/7/2024,Dog_3,6748,92,4.72,8.7,2.67,269.92,8,2.8,2527.340824,0.542528736,101.093633,1.048689139,8,502.8315946,40.68046138,-73.99166082,6232.473324,1,Windy,-1.278780542,Rural
1/8/2024,Dog_3,4998,118,5.94,10.15,5.81,199.92,7,4.36,860.2409639,0.585221675,34.40963855,0.750430293,7.666666667,310.6277191,40.65976721,-74.00991486,2768.243562,1,Snowy,-3.825433636,Rural
1/9/2024,Dog_3,6304,111,6.18,13.77,6.62,252.16,8,2.35,952.265861,0.448801743,38.09063444,0.354984894,7.666666667,315.9899749,40.7184233,-74.00379942,6534.11613,1,Cloudy,27.91833785,Suburban
1/10/2024,Dog_3,14649,62,5.81,8.28,2.02,585.96,6,1.41,7251.980198,0.701690821,290.0792079,0.698019802,7,1039.673527,40.69401525,-73.95527167,4915.747879,1,Rainy,3.390117907,Rural
1/11/2024,Dog_3,7737,87,4.31,8.23,7.15,309.48,2,5.96,1082.097902,0.523693803,43.28391608,0.833566434,5.333333333,616.9856459,40.66220382,-74.03466486,7584.994328,1,Snowy,10.16108505,Rural
1/12/2024,Dog_3,10392,60,5.44,7.16,3.12,415.68,2,1.78,3330.769231,0.759776536,133.2307692,0.570512821,3.333333333,824.7619048,40.69951769,-73.99137702,5528.275636,1,Rainy,33.9382956,Suburban
1/13/2024,Dog_3,8791,65,5.45,11.38,5.31,351.64,8,5.94,1655.555556,0.478910369,66.22222222,1.118644068,4,522.3410576,40.65343885,-73.99941113,5161.833406,1,Rainy,8.473620074,Rural
1/14/2024,Dog_3,3202,115,5.43,11.83,4.49,128.08,1,5.89,713.1403118,0.459002536,28.52561247,1.311804009,3.666666667,185.5156431,40.74093204,-73.98885458,9756.830137,1,Sunny,6.859591251,Urban
1/15/2024,Dog_3,5327,64,7.79,11.07,6.32,213.08,6,4.97,842.8797468,0.703703704,33.71518987,0.786392405,5,282.4496288,40.675878,-74.04818898,8793.682119,1,Windy,31.72831998,Rural
1/1/2024,Dog_4,4930,107,8.79,7.21,4.23,197.2,6,4.3,1165.484634,1.219140083,46.61938534,1.016548463,6,308.125,40.71625223,-73.96278761,0,0,Snowy,-0.570062187,Rural
1/2/2024,Dog_4,14589,75,4.24,10.73,7.22,583.56,4,3.89,2020.637119,0.395153774,80.82548476,0.538781163,5,974.5490982,40.68117111,-73.95678817,3928.551471,1,Rainy,25.3832964,Rural
1/3/2024,Dog_4,17243,78,8.27,12.48,6.38,689.72,10,5.33,2702.664577,0.662660256,108.1065831,0.835423197,6.666666667,830.9879518,40.7020068,-73.99348668,3869.856672,1,Sunny,34.52262267,Suburban
1/4/2024,Dog_4,14411,91,4.58,13.52,5.89,576.44,3,2.45,2446.689304,0.338757396,97.86757216,0.415959253,5.666666667,796.1878453,40.70467103,-73.98033492,1150.175099,1,Cloudy,31.05184043,Suburban
1/5/2024,Dog_4,8759,98,9.62,7.1,6.78,350.36,3,3.34,1291.887906,1.354929577,51.67551622,0.492625369,5.333333333,523.8636364,40.66848545,-73.95775006,4448.803601,1,Snowy,21.06671675,Rural
1/6/2024,Dog_4,11155,116,4.68,13.4,6.52,446.2,1,4.1,1710.889571,0.349253731,68.43558282,0.628834356,2.333333333,616.9800885,40.74695846,-73.97927614,8902.13057,1,Rainy,7.5624318,Urban
1/7/2024,Dog_4,19646,119,5.05,13.86,2.22,785.84,3,3.06,8849.54955,0.364357864,353.981982,1.378378378,2.333333333,1038.921206,40.72751328,-74.0347461,5159.107679,1,Windy,5.172879247,Urban
